fiend,démon,67
fierce,féroce,37
fiery,ardent,45
fight,bats toi,273
figure,figure,52
finds,trouve,38
finger,doigt,85
first,première,456
flatter,flatter,53
flesh,la chair,129
flies,mouches,52
flight,vol,55
flood,inonder,54
flourish,fleurir,38
flower,fleur,40
flowers,fleurs,45
follow,suivre,302
folly,folie,78
foolish,insensé,93
fools,imbéciles,100
forbear,ancêtre,43
forbid,interdire,71
force,Obliger,117
forces,les forces,42
forest,forêt,63
forget,oublier,89
former,ancien,63
forsooth,en vérité,40
forth,en avant,363
fortune,fortune,313
forward,vers l'avant,87
fought,combattu,64
found,a trouvé,213
fourth,Quatrième,11
frame,Cadre,51
france,France,0
freely,librement,52
french,français,0
fresh,Frais,83
friend,ami,594
frown,froncer les sourcils,55
fruit,fruit,45
further,plus loin,184
gallant,galant,59
garden,jardin,44
gates,portes,101
gaunt,décharné,5
general,général,179
gentle,doux,348
ghost,fantôme,36
given,donné,182
giving,donnant,31
glass,verre,59
glorious,glorieux,40
glory,gloire,83
going,Aller,98
golden,d'or,86
goodness,la bonté,55
gower,gower,0
grace,la grâce,305
grant,subvention,98
grave,la tombe,195
great,génial,808
green,vert,79
greet,saluer,52
grief,douleur,232
grieve,pleurer,66
gross,brut,53
ground,sol,168
grown,grandi,55
guard,garde,112
guess,devine,47
guilty,coupable,65
habit,habitude,47
hands,mains,317
hanging,pendaison,34
hangs,bloque,34
happiness,bonheur,55
happy,heureux,185
haste,hâte,157
hateful,odieux,39
having,ayant,123
hazard,danger,42
heads,têtes,108
health,santé,94
heard,entendu,334
heart,cœur,1080
heaven,paradis,607
heavy,lourd,163
hector,Hector,0
heels,talons,72
hence,Par conséquent,310
henceforth,désormais,25
hereafter,"ci-après, par la suite",44
herself,se,91
highness,altesse,1
holds,tient,73
hollow,creux,46
honest,honnête,316
horse,cheval,251
hostess,hôtesse,28
hours,heures,136
house,maison,525
hubert,Hubert,0
humble,humble,73
humour,humour,106
hundred,cent,114
husband,mari,289
ignorant,ignorant,48
image,image,51
includes,comprend,2
indeed,En effet,356
infinite,infini,38
innocent,innocent,52
instant,instant,61
intend,avoir l'intention,61
intent,intention,56
issue,problème,117
itself,lui-même,236
jealous,jaloux,64
jewel,bijou,76
judge,juge,85
judgment,jugement,104
julia,Julia,0
justice,Justice,144
keeps,garde,68
kindness,la gentillesse,50
kingdom,Royaume,110
kings,rois,105
knave,fripon,181
kneel,s'agenouiller,57
knees,les genoux,51
knife,couteau,51
knight,Chevalier,125
knock,frappe,62
knowing,connaissance,31
knowledge,connaissance,76
known,connu,184
knows,sait,204
labour,la main d'oeuvre,85
ladies,Dames,104
ladyship,Madame,38
lands,terres,53
large,grand,74
laugh,rire,90
launce,lancer,0
lawful,légitime,59
learn,apprendre,93
learned,appris,48
least,moins,101
leave,laisser,662
leisure,loisir,66
leontes,leontes,0
letter,lettre,329
liberty,liberté,69
library,bibliothèque,3
liege,Liege,137
lieutenant,lieutenant,31
light,lumière,266
limbs,membres,47
little,peu,472
lives,vies,189
living,vivant,119
longer,plus long,106
looks,regards,202
loose,ample,50
lords,seigneurs,327
lordship,seigneurie,113
lorenzo,Lorenzo,0
lovely,charmant,53
lovers,les amoureux,55
loves,aime,200
loving,aimant,114
lucentio,Lucentio,0
machine,machine,2
madness,la démence,67
maiden,jeune fille,47
maids,servantes,40
maintain,maintenir,40
majesty,majesté,68
makes,fait du,314
making,fabrication,55
malice,malice,69
manner,manière,114
march,Mars,74
marcius,Marcius,0
marcus,Marcus,0
margaret,margaret,0
maria,maria,0
mariana,Mariana,0
marriage,mariage,108
marry,marier,177
master,Maître,448
match,rencontre,81
matter,matière,364
meaning,sens,53
means,veux dire,261
meant,signifiait,49
measure,mesure,95
meeting,réunion,48
membership,adhésion,0
memory,Mémoire,58
merchant,marchande,27
mercy,pitié,161
merit,mérite,60
merry,joyeux,164
messenger,Messager,70
midnight,minuit,41
might,pourrait,450
mighty,puissant,107
milan,Milan,0
minds,esprits,55
minister,ministre,54
miranda,Miranda,0
mirth,gaieté,48
mischief,sottises,47
misery,misère,37
mistake,erreur,42
mistress,maîtresse,256
modest,modeste,57
money,argent,174
monster,monstre,69
month,mois,69
morning,Matin,123
morrow,demain,111
mortal,mortel,98
mother,mère,324
motion,mouvement,84
mouth,bouche,147
mowbray,mowbray,0
murder,meurtre,53
murther,aller plus loin,39
music,la musique,159
myself,moi même,510
naked,nu,50
names,des noms,49
native,originaire de,43
natural,Naturel,56
nature,la nature,315
needs,Besoins,142
neighbour,voisine,49
neither,ni,154
never,jamais,896
niece,nièce,60
night,nuit,646
noble,noble,623
noise,bruit,109
nothing,rien,540
nought,néant,54
number,nombre,79
nurse,infirmière,69
oaths,serments,68
obedience,obéissance,48
oberon,Oberon,0
object,objet,44
occasion,occasion,80
offence,infraction,110
offend,offenser,62
offer,offre,97
office,Bureau,162
often,souvent,120
oliver,oliver,0
opinion,opinion,88
order,ordre,91
orlando,orlando,0
other,autre,653
others,autres,177
ourselves,nous-mêmes,107
outward,vers l'extérieur,50
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,90
painted,peint,51
painter,peintre,9
palace,palais,152
pandarus,Pandarus,0
paper,papier,106
pardon,pardon,226
paris,Paris,6
parolles,parolles,0
parted,séparé,41
particular,particulier,63
partly,partiellement,33
parts,les pièces,107
party,fête,50
passage,passage,42
passion,la passion,117
patience,la patience,158
patient,patient,85
paulina,paulina,0
peace,paix,388
pedro,pedro,0
people,gens,195
perceive,apercevoir,95
percy,Percy,0
perfect,parfait,54
perhaps,peut-être,30
peril,péril,49
permission,autorisation,4
person,la personne,155
personal,personnel,13
phebe,phebe,0
philip,Philippe,0
picture,image,44
piece,pièce,102
pistol,pistolet,3
place,endroit,455
plague,peste,99
plain,plaine,118
plead,plaider,42
please,S'il vous plaît,356
pleasure,plaisir,196
pluck,cueillir,99
poins,poins,0
point,point,156
poison,poison,81
policy,politique,45
polixenes,polixènes,0
pompey,pompey,0
porter,porter,16
possible,possible,57
posthumus,posthume,0
pound,livre,63
power,Puissance,336
practice,entraine toi,51
praise,louange,207
prayers,prières,85
precious,précieux,74
prepare,préparer,57
presence,présence,104
present,présent,244
pretty,jolie,108
pride,fierté,106
priest,prêtre,71
prince,prince,149
prison,prison,89
private,privé,68
prize,prix,51
proceed,procéder,51
proclaim,proclamer,34
profit,profit,43
prohibited,interdit,0
project,projet,12
prologue,prologue,20
promise,promettre,125
proof,preuve,83
proper,correct,60
protector,protecteur,3
protest,manifestation,55
proud,fier,182
prove,prouver,258
provided,à condition de,26
public,Publique,55
purpose,objectif,225
purse,bourse,87
quality,qualité,55
quarrel,querelle,103
queen,reine,177
question,question,145
quick,rapide,91
quiet,silencieux,73
quite,assez,72
quoth,quoth,61
raise,élever,51
ransom,une rançon,55
rascal,coquin,59
rather,plutôt,288
readable,lisible,2
ready,prêt,125
realm,domaine,59
reason,raison,312
receive,recevoir,112
regard,qui concerne,48
reign,règne,46
reignier,règne,0
remain,rester,78
remedy,remède,58
remember,rappelles toi,153
render,rendre,44
repair,réparation,39
repent,se repentir,53
report,rapport,150
reputation,réputation,45
request,demande,74
respect,le respect,115
return,revenir,184
revenge,vengeance,144
reverence,révérence,41
revolt,révolte,43
right,droite,334
rivers,rivières,11
rogue,coquin,87
rotten,pourri,35
rough,rugueux,63
round,rond,74
royal,Royal,202
sacred,sacré,46
safety,sécurité,72
saint,Saint,31
salerio,salerio,0
satisfied,satisfait,47
saying,en disant,53
scarce,rare,65
scene,scène,36
scorn,mépris,107
search,chercher,35
season,saison,49
second,seconde,102
secret,secret,78
seeing,voyant,38
senate,sénat,0
senator,sénateur,21
sense,sens,145
sentence,phrase,40
servant,serviteur,170
serve,servir,219
service,un service,243
seven,Sept,62
several,nombreuses,81
shadow,ombre,92
shake,secouer,104
shall,doit,3115
shame,la honte,305
shape,forme,104
sharp,tranchant,60
shepherd,berger,57
shine,éclat,67
shore,rive,55
short,court,91
shortly,prochainement,44
should,devrait,1423
shows,montre,94
sickness,maladie,51
sight,vue,205
silence,silence,62
silver,argent,56
simple,Facile,72
since,depuis,285
single,Célibataire,60
sirrah,sirrah,74
sister,sœur,185
skill,compétence,50
slain,tué,122
slander,calomnie,54
slave,esclave,140
sleep,sommeil,263
slender,mince,10
small,petit,82
smell,odeur,55
smile,sourire,96
soldier,soldat,209
solemn,solennel,38
somerset,somerset,0
something,quelque chose,150
sometime,parfois,98
sooner,plus tôt,60
soothsayer,devin,3
sorrow,chagrin,202
sorry,Pardon,88
sought,recherché,34
souls,âmes,108
sound,du son,193
sovereign,souverain,136
spare,de rechange,48
speak,parler,965
speaks,parle,125
special,spécial,37
speech,discours,126
speed,la vitesse,132
spend,dépenser,70
spirit,esprit,335
spite,dépit,61
spoke,parlait,172
sport,sport,124
spring,printemps,62
staff,Personnel,39
stain,tache,40
stand,supporter,553
stars,étoiles,67
state,Etat,309
steal,voler,91
steel,acier,69
steward,intendant,23
still,encore,488
stomach,estomac,50
stone,calcul,80
stood,se tenait,82
store,boutique,38
storm,orage,63
story,récit,67
straight,tout droit,144
strange,étrange,265
street,rue,101
strength,force,124
strike,la grève,137
stroke,accident vasculaire cérébral,47
strong,fort,177
struck,frappé,71
study,étude,56
stuff,des trucs,48
subject,matière,128
substance,substance,42
success,Succès,44
sudden,soudain,78
suddenly,tout à coup,48
suffer,souffrir,88
suffolk,suffolk,0
summer,été,60
supper,souper,53
surely,sûrement,34
surrey,Surrey,0
suspect,suspect,37
swear,jurer,248
sweat,transpiration,40
sweet,sucré,653
swift,rapide,63
sword,épée,375
swore,juré,50
sworn,juré,130
syracuse,Syracuse,0
table,table,64
tailor,tailleur,35
taken,pris,89
talbot,talbot,0
tarry,goudronneux,35
taste,goût,81
taught,enseigné,47
teach,enseigner,91
tears,larmes,273
tedious,fastidieux,43
teeth,les dents,53
tells,raconte,40
tempest,tempête,43
tender,soumissionner,139
terms,termes,74
thank,remercier,336
their,leur,1949
themselves,se,157
there,Là,1311
therefore,par conséquent,362
therein,la bride,47
these,celles-ci,1098
thief,voleur,66
thing,chose,604
think,pense,992
third,troisième,71
thomas,Thomas,0
those,ceux,467
though,bien que,390
thought,pensée,510
thrive,prospérer,60
throat,gorge,62
throne,trône,70
through,par,225
throw,jeter,125
thrust,poussée,52
thunder,tonnerre,54
times,fois,204
title,Titre,102
together,ensemble,240
tongue,langue,432
tonight,ce soir,47
touch,toucher,106
toward,vers,151
tower,la tour,12
train,train,73
traitor,traitre,150
tread,bande de roulement,47
treason,trahison,96
treasure,Trésor,54
trial,procès,60
tribunes,tribunes,27
trick,tour,71
triumph,triomphe,48
trouble,difficulté,109
truly,vraiment,123
trumpet,trompette,110
trust,confiance,175
truth,vérité,329
turns,se tourne,47
twice,deux fois,60
tyrant,tyran,51
ulysses,Ulysse,0
uncle,oncle,181
under,sous,200
understand,comprendre,101
undertake,entreprendre,47
undone,défait,51
unhappy,malheureux,33
unknown,inconnue,41
unless,sauf si,64
until,jusqu'à,41
unworthy,indigne,31
utter,prononcer,41
valentine,Valentin,0
valiant,vaillant,143
valour,valeur,93
vantage,avantage,41
vengeance,vengeance,49
venice,venise,0
version,version,1
victory,la victoire,46
villain,scélérat,249
viola,alto,0
violent,violent,40
virtue,vertu,196
visit,visite,53
voice,voix,175
walls,des murs,83
warlike,guerrier,57
warrant,mandat,175
waste,déchets,59
watch,regarder,114
water,eau,155
wealth,richesse,78
weapons,armes,40
weary,se lasser,71
weeds,mauvaises herbes,41
weeping,larmes,53
weight,poids,56
welcome,Bienvenue,273
wench,jeune fille,54
whence,d'où,58
where,où,646
wherein,où,66
whether,qu'il s'agisse,55
which,lequel,1408
while,tandis que,199
whither,où,38
whole,entier,119
whore,putain,46
whose,dont,379
widow,veuve,65
willing,prêt,35
window,la fenêtre,57
wings,ailes,54
winter,hiver,51
wisdom,sagesse,94
witch,sorcière,41
withal,avec,136
within,dans,308
without,sans pour autant,282
witness,témoin,105
wives,épouses,57
wolsey,Wolsey,0
woman,femme,317
wonder,merveille,122
works,travaux,23
world,monde,625
worse,pire,167
worship,culte,100
worth,vaut,380
would,aurait,2019
wound,blessure,121
wounded,blessés,36
wrath,colère,55
wretch,misérable,57
write,écrire,122
written,écrit,34
wrong,faux,263
wrought,forgé,40
yield,rendement,140
yonder,là-bas,56
young,Jeune,401
yours,le tiens,245
yourself,toi même,268
youth,jeunesse,0
